RPLAB7
RPLAB8
"",,,THURSDAY,,
"",7.00 AM→9.00 AM,9.00 AM→11.00AM,11.00 AM→1.00 PM 1.00 PM→3.00 PM,3.00PM→5.00PM,5.00PM→7.00PM
SGT1,HIST 122,CHEM 326,PHYS 285(A) MATH 123(A),MATH 427,PHYS 372
S104,NURS 351,NURS 454,NURU 191 NURS 445,NURU 265,HRIM 464
S105,HNDS 261,HRIM 355,NURS 171 HRIM 141,HRIM 121,HRIM 121
S203,PUHE 356,PUHE 481,PUHE 238 PUHE 426,PUHE 484,PUHE 484
S204,PUHE 117,PUHE 143,NURU 265 ZOOL 143,HNDS 491,HNDS 491
S207,NURS 115,NURS 116,NURU 115 DIBM 216,PHIL 109,PHIL 109
S302,HRIM 228,HRIM 273,HRIM 273 PUHE 236,PUHE 237,PUHE 237
S303,MATH 141(E),MATH 304(A),EDCI 411(A),MATH 123(B),PHYS 281(B)
S304,EENG 566,EENG 542,EENG 113 ECDE 339,EENG 586,EENG 114
S306,,ZOOL 438,BECO 111 BOTA 443,BOTA 381,PHYS 393
S402,BOTA 251,ZOOL 231,BOTA 338 ZOOL 240,ZOOL 232,CHEM 438
S403,ZOOL 103(A),EPSC 123(C),MATH 403(A) EDCI 411(B),MATH 403(B),MATH 121(E)
S404,,,CHIN 452 MATH 409,PHYS 111,GPHYS 224
S408,ACTM 202,PHYS 482,ZOOL 312 ACMT 312,ACMT 453,BIOC 334
S502,CHIN 371,BIOC 220,BIOC 241 EDCI 411(C),BMET 222,CHEM 221(A)
S503,CHEM 416,CHEM 419,EPSC 123(B) CHIN 432,CHEM 313(A),CHEM 313(B)
S504,BIOC 200,SOCI 111,PHYS 281(A),ZOOL 103(B),BOTA 111(B),COMS 101(A)
S508,,BMET 452,BIOC 333,BIOC 443,CHIN 323,BOTA 211/AGRI 223
S602,MATH 304(B),ZOOL 342,BMET 453,BMET 455,CHEM 437,BMET 454
L1,BIOC 342,DIBM 0131,DIBM 0224,DHRM 0112,BCOP 402,COSC 802
L2,COMP 00161,ECDE 142,ECDE 0131,CHEM 405,MSAC 812,MSCF 813
L3,,,,,,
L4,,,,,,COSC 812
FTC 301,,MATH 121(D),MATH 407,,,
FTC 302,ENSC 470,CHEM 304,AGRI 102,ENSC 464,,
FTC 303,,PHYS 352,,,,
FTC 501,COSC 0172,MATH 0121,ENSC 861,MATH 00101,,
FTC 502,BSIS 381,BSIS 314,BRMT 415,BSIS 321,BPMS 425,PSYC 131
SRP B 01,EPSC 123(A),CHEM 103,BCOM 213,BCOM 162,BCOM 231,ECON 121(A)
MSH5,BPLM 101,SOCI 317,CRSS 210,PHIL 324,RELI 351,ANSC 265
MSH6,PSYC 125,PSYC 124,CRSS 352,BCOM 414,CRSS 351,CRSS 350
MSH7,NARE 481,WIEM 461,BCOM 418,BCOM 446,BEEM 429,BEEM 449
MSH8,BCOM 329,BCOM 303,BCOM 444,BECO 381,BCOM 339,BCOM 348
MSH9,DIAC 0112,BCOP 312,BCOM 313,DPLM 0216,MTOM 833,BCHM 161
MSH10,ECDE 413,BCOM 415,ECDE 448,,ECDE 0132,
BSR001,BCOM 404,ENGL 212,COSC 104(B),GEOG 133,COSC 104(B),BCOM 405
BSR201,DIMA 0121,SOIL 0320,SOIL 0100,DIMA 0122,SOIL 212,MSEC 811
BSR202,PPMA 112,PPMA 123,PSYC 473,PPMA 122,PSYC 464,SOCI 463
BSR301,LITT 104,ECON 446,ECON 341,RELI 161,GEOG 144,COSC 114
BSR302,BCOM 364,COSC 113,BCOM 434,COSC 442,CDEV 428,COSC 468
BSR303,,BIOC 204,,RELI 232,AGRI 211,
BSR401,BCOM 202,KISW 318,COSC 320,AGRI 361,EDCI 341,AGED 341
BSR402,COSC 363,COMM 471,COSC 341,COMM 473,COMM 481,EDCI 342
BSR403,HORT 361,LITT 408,RELI 406,RELI 250,BCOP 338,
BSR501,ENGL 372,KISW 412,ENGL 364,ACSC 328,,KISW 420
BSR502,COMM 253,COMM 252,BPLM 214,KISW 413,COMM 264,MATH 426
BSR503,ECON 234,SOCI 212,SOCI 233,,GEOG 221,MATH 390
BSL201,GEOG 417,BUST 421,ENGL 417,GEOG 427,BIOC 314,
BSL202,HIST 455,BSIS 241,HIST 449,SOCI 453,BSIS 262,BSIS 251
BSL203,KISW 312,LITT 332,RELI 342,LITT 325,SOCI 316,KISW 313
BSL301,ENGL 414/421,BTOM 271,BCOM 104,,PSYC 411,
BSL302,,ENSC 112,BTOM 475,BCOM 435,BCHM 212,
BSL303,,,,,,
BSL401,,BTOM 452,,,,
BSL402,CDEV 326,CDEV 334,DIBM  0103,CDEV 351,,
BSL403,,,COMM 472,NARE 211,,
BSL501,BCOM 337,ECON 409(B),BTOM 152,ECON 453,,ECON 450
BSL502,PHYS 113,BCOM 314,SOCI 447,,,DIAC 0225
BSL503,ECON 343,CDEV 253,BCHM 421,CDEV 210,CDEV 250,ECON 306
MS03,NARE 222,ECDE 335,WIEM 222,WIEM 446,WIEM 347,WIEM 351
MS04,PHYS 00111,COSC 00171,COSC 0273,COSC 00131,COSC 0261,COSC 0211
MS05,BCOM 427,ANHE 426/7,BCOM 424,BPLM 412,PHYS 0111,NARE 221
MS07,BCOM 458,AGRI 0291,BCOM 454,PHIL 112,MBAD 803,SOCI 101
MS08,BCOM 469,AGBM 342,AGBM 324,COSC 472,AGBM 341,ANSC 991
MS09,BPLM 413,ANSC 466,ANSC 467,FOST 464,ANSC 372,ANSC 351
MS10,ANSC 0268,ANHE 0282,ANHE 0126,NARE 0112,CRSS 0233,ANHE 0121
MS17,BECO 242,DTHM 0143,ENSC 261,DTHM 0151,CRSS 00106,CRSS 00107
MS20,DTHM 0221,DTHM 0281,CHTM 00102,DTHM 0243,CHTM 00302,CRSS 0234
MS21,FOST 345,COSC  00102,FOST 347,CHTM 00601,CHTM 00401,GENE 882
MS23,AGRI 383,EPHY 251,BOTA 212,HORT 323,SOIL 213,HORT 371
MS24,SOWK 0217,HORT 463,SOWK 0216,HORT 443,SOWK 0212,CRSS 00113
MS25,CDEV 0208,CDEV 0212,PPMA 00124,CDEV 0260,CDEV 0263,CDEV 00103
MS26,DIBM 0113,LAPA 0221,LAPA 0141,,LAPA 0120,NARE 802
MS27,,DIBM 0216,DIBM 0121,DIBM 0242,CIBM 00112,CIBM 00141
MS30,DPLM 0151,CIBM 00101,CRSS 00104,ECON 00121,CDEV 00106,GEOG 831
LLB1,BLAW 124,BLAW 124,,BLAW 126,BLAW 126,
LLB2,,,BLAW 221,,,
LLB3,,,,,,BLAW 311
PAVH,,WIEM 345,CDEV 00211,DPLM 0211,MSAC 821,DIBM 0216
"",OMPUTER LABS,,,,,,,,,,,,,,,,,,,,
"",OOM,,,,.00 AM→9.00 AM,,,9.00 AM→11.00AM,,,1.00 AM→1.00 PM,,,1.00 PM→3.00 PM,,,.00PM→5.00PM,,,.00PM→7.00PM,
"",LAB1,,,,,,,,,,,,,,,,,,,,
"",LAB2,,,,,,,,,,,,,,,,,,,,
"",LAB3,,,,,,,,,,,,,,,,,,,,
"",LAB4,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,
"",CIENCE LAB (SLAB1 – PHYS) (SLAB2 – BOTANY) (SLAB3 – ZOOLOGY),,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,
"",OOM,,,,.00 AM→9.00 AM,,,9.00 AM→11.00AM,,,1.00 AM→1.00 PM,,,1.00 PM→3.00 PM,,,.00PM→5.00PM,,,.00PM→7.00PM,
"",LAB1,,,,,,,PHYS 326,,,HYS 224,,,GPHY 122,,,,,,,
SLAB2,,,,
SLAB3,,,,
S108,,,,
"",,,,
PAVILION (PLAB – HOSPITALITY),,,,
"",,,,
PLAB BCHM 121 BCHM 121,BCHM 121,BCHM 131,BCHM 131,
"",,,,
MEDIA SCHOOL COMPLEX (MS33 – PLANT SCIENCE LAB) (MS34 – FOOD SCIENCE LAB),,,,
ROOM 7.00 AM→9.00 AM 9.00 AM→11.00AM,11.00 AM→1.00 PM,1.00 PM→3.00 PM,3.00PM→5.00PM,5.00PM→7.00PM
"MS33 AGRI 0271, HORT 0272 SOIL 210, HORT 0272","AGRI 392, HORT 371",HORT 325,SOIL 320/0320,"AGEN 341, AGRI"
"",,,,101
MS34,,,,
RADIO,,,,
STATION,,,,
"",,,,
SECONDARY (LAB1 - CHEMISTRY LAB),,,,
"",,,,
ROOM 7.00 AM→9.00 AM 9.00 AM→11.00AM,11.00 AM→1.00 PM,1.00 PM→3.00 PM,3.00PM→5.00PM,5.00PM→7.00PM
LAB1,,,,
"",,,,
RESEARCH PARK,,,,
"",,,,
"RPLAB1.CHEM LAB, RPLAB2. ANIMAL SCIENCE, RPLAB3. PHYSICAL LAB, RPLAB4.BIOCHEM/BIOMED LAB, RPLAB5. BIOTECH LAB, RPLAB 6.",,,,
"MICROBIO LAB, RPLAB7. ZOOLOGY LAB, RPLAB8. NURSING LAB",,,,
ROOM 7.00 AM→9.00 AM 9.00 AM→11.00AM,11.00 AM→1.00 PM,1.00 PM→3.00 PM,3.00PM→5.00PM,5.00PM→7.00PM
RPLAB1,,,,
RPLAB2 ANPT 232,ANSC 231,ANHE 0121,ANHE 00124,
RPLAB3,,,,
RPLAB4,,,,
RPLAB5,,,,
RPLAB6,,,,
RPLAB7,,,,
RPLAB8,,,,
"",7.00 AM→9.00 AM,9.00 AM→11.00AM,11.00 AM→1.00 PM,1.00 PM→3.00 PM,3.00PM→5.00PM,5.00PM→7.00PM
SGT1,MATH 341(A),PHYS 151(A),MATH 341(B),PHYS 271(A),BIOC 0113,PHYS 271(B)
S104,NURS 395,PUHE 253,PUHE 253,PUHE 252,HRIM 142,HRIM 142
S105,PUHE 391,PUHE 392,PUHE 392,PUHE 131,PUHE 131,HNDS 0121
S203,PUHE 425,PUHE 427,PUHE 427,PUHE 426,HRIM 488,HRIM 488
S204,HRIM 382,HRIM 374,HRIM 374,HRIM 366,HNDS 0172,HNDS 483
S207,HRIM 253,HRIM 227,COSC 0101,HRIM 254,PHIL 104,PHIL 104
S302,NURS 223,NURS 223,NURU 191,NURS 224,NURU 112,NURU 119
S303,ZOOL 210(A),EDCI 221(A),CHEM 221(B),PHYS 151(B),CHEM 241,CHEM 345
S304,EENG 394,EENG 354,EENG 444,EENG 395,,EENG 424
S306,MATH 406,CHEM 315,ZOOL 420,ZOOL 451,BOTA 337,BOTA 336
S402,PHYS 111,CHIN 428,PHYS 153,CHIN 436,CHEM 334,BTOM 255
S403,BOTA 131(A),EDCI 221(B),PHYS 352,CHIN 431(B),CHIN 431(A),
S404,,CHIN 313,BCHM 222,GPHY 224,GPHY 251,GPHY 122
S408,BOTA 335,BOTA 312,BOTA 103,ACMT 390,MATH 244,BOTA 334
S502,CHEM 325(A),CHEM 325(B),MATH 409,PHYS 429,PHYS 478,BMET 233
S503,CHAL 101,ZOOL 210(B),BOTA 131(B),ZOOL 102(A),CHEM 361,ZOOL 102(B)
S504,ECON 101,COSC 103,,BIOC 200,SOCI 103,COMS 101(C)
S508,CHIN 435,BIOC 461,BOTA 439,BOTA 494,ICEN 206,BIOC 426
S602,BIOC 424,BMET 424,ZOOL 341,BMET 444,COSC 0141,COSC 0160
L1,DHRM  0113,COSC 00105,COSC 00161,,DHRM 0114,MTOM 811
L2,ECDE 312,ECDE 238,ECDE 338,DIBM 0103,MSCAC 899,MSCF 812
L3,,,,,,
L4,,,,,COSC 841,COSC 851
FTC 301,,,,,,
FTC 302,ENSC 253,ENSC 443,ENSC 261,ENSC 434,,
FTC 303,,,,,,
FTC 501,COSC 0280,MIHM 891,AGRI 322,FOST 242,,
FTC 502,SOCI 104,SOCI 251,SOCI 236,SOCI 107,ENSC 102,
SRP B 01,,COSC 105,GEOG 120,BPLM 111,COSC 103,
MSH5,CRSS 435,INRE 143,CRSS 436,RELI 120,NARE 472,CRSS 437
MSH6,CRSS 230,CRSS 203,PHIL 253,PHIL 223,CRSS 204,MIHM 811
MSH7,BEEM 437,ANPT 232,BCOM 315,AGEC 424,ANSC 333,DPLM 0217
MSH8,ENSC 446,BCHM 242,BPLM 315,BCHM 232,MPLM 831,MSOM 821
MSH9,BCHM 421,BTOM 461,BECO 371,BECO 461,BECO 372,ECDE 446
MSH10,DPLM 0213,DPLM 0214,ECDE 414,,ECDE 446,BCHM 161
BSR001,BCOM 335,BCOM 241,BCOM 202,COSC 130,LITT 222,ENSC 100
BSR201,DIMA 0131,SOIL 212,CRSS 0130,BCHM 363,CRSS 0140,BCHM 361
BSR202,PSYC 475,PSYC 465,PSYC 485,BCOM 338,PPMA 161,PSYC 474
BSR301,ZOOL 431,HORT 111,FREN 111,AGRI 101,BCOM 220,
BSR302,COSC 475,ACSC 231,COSC 447,ACSC 273,COMM 381,COMM 370
BSR303,MATH 427,ENGL 442,COSC 251,ANSC 359,GEOG 324,
BSR401,HIST 346,LITT 351,RELI 372,ENGL 381,SOCI 314,CDEV 325
BSR402,COMM 421,COSC 224,COMM 472,COSC 250,AGEC 343,SOIL 320
BSR403,ENGL 363,ACSC 333,GEOG 312,ACSC 352,HIST 372,SOCI 343
BSR501,ECON 438,ACSC 122,GEOG 424,LITT 432,ECON 449,
BSR502,SOCI 419,HIST 437,HIST 462,GEOG 425,PHIL 341,PHIL 362
BSR503,ECON 235,HIST 242,AGBM 222,GEOG 246,LITT 405,
BSL201,COMM 104,COMM 105,ACSC 429,,ACSC 441,
BSL202,COMM 241,PPMA 162,COMM 243,COMM 263,BPLM 216,BOTA 211/AGRI 223
BSL203,,,EDCI 201,,,
BSL301,,ENSC 359,COSC 103,,,
BSL302,HORT 341,KISW 415,SOCI 106,KISW 416,AGED 443,AGEN 352
BSL303,,ENGL 371,AFRE 132,,,
BSL401,,CHEM 326,CHEM 120(A),CHEM 120(B),,
BSL402,PSYC 323,PSYC 325,PHIL 222,PSYC 324,PHIL 252,
BSL403,,,,,,
BSL501,PHIL 104,MATH 141(B),,,,
BSL502,PHIL 104,COSC 101,ANSC 241,BPLM 114,BTOM 151,BTOM 473
BSL503,PHIL 104,MATH 326,,,,
MS03,WIEM 421,WIEM 243,WIEM 481,WIEM 422,CDEV 0250,BTOM 353
MS04,AGEC 111,AGBM 223,COSC 0274,BCOM 163,COSC 0262,COSC 0251
MS05,HIST 121,AGBM 302,PHIL 140,AGBM 315,AGEC 361,AGEX 832
MS07,ANSC 460,ECON 414,BCOM 358,ANSC 362,ANSC 473,ANSC 936
MS08,ANHE 0281,AGEN 0241,BCOM 326,BECO 243,WIEM 241,GENE 841
MS09,AGBM 0111,ANHE 00122,BCOM 347,ANHE 00123,ANHE 00124,CRSS 0235
MS10,DTHM 0142,CHTM 00101,BPLM 414,COMS 0101,CHTM 00301,CRSS 00114
MS17,DTHM 0121,DTHM 0122,DTHM 0252,DTHM 0253,DTHM 0271,DTHM 0231
MS20,,AGED 332,CHTM 00602,AGRI 392,HORT 0272,CDEV 00105
MS21,ANSC 0260,FOST 465,DIBM 0211,FOST 466,AGEC 0112,DIMA 0151
MS23,PHIL 105,SOWK 0226,AGRI 392,SOWK 0127,CDEV 0261,SOWK 0126
MS24,CRSS 0200,CRSS 00101,CRSS 0201,CRSS 0202,CRSS 00110,CRSS 00111
MS25,PPMA 0123,CDEV 0270,CDEV 00120,CDEV 0207,PPMA 00120,PPMA 00125
MS26,SOCI 0101,DJMC 0225,CPLM 00112,DJMC 0126,PPMA 0110,ECDE 0141
MS27,DIBM 0223,LAPA 0112,DIAC 0227,LAPA 0170,DIBM 0217,DIBM 0141
MS30,DIBM 0131,DHRM 0111,CIBM 00113,DIBM 0111,CIBM 00114,ENSC 807
LLB1,,,,PHIL 100,PHIL 100,
LLB2,BLAW 226,BLAW 226,BLAW 222,,,
LLB3,,,,,,BLAW 315
PAVH,DIBM 0123,DPLM 0112,DIAC 0114,DPLM 0111,MSCF 814,ZOOL 0143
COMPUTER LABS,,,,,
ROOM 7.00 AM→9.00 AM 9.00 AM→11.00AM,11.00 AM→1.00 PM,1.00 PM→3.00 PM,,3.00PM→5.00PM,5.00PM→7.00PM
CLAB1,,,,,
CLAB2,,,,,
CLAB3,,,,,
CLAB4,,,,,
"",,,,,
SCIENCE LAB (SLAB1 – PHYS) (SLAB2 – BOTANY) (SLAB3 – ZOOLOGY),,,,,
"",,,,,
ROOM 7.00 AM→9.00 AM 9.00 AM→11.00AM,11.00 AM→1.00 PM,1.00 PM→3.00 PM,,3.00PM→5.00PM,5.00PM→7.00PM
SLAB1,,,,,
SLAB2,,,,,
SLAB3,,,,,
S108,,,,,
"",,,,,
PAVILION (PLAB – HOSPITALITY),,,,,
"",,,,,
PLAB BCHM 321 BCHM 321,BCHM 321,BCHM 231,,BCHM 112,
"",,DTHM 00303,,DTHM 0112,
MEDIA SCHOOL COMPLEX (MS33 – PLANT SCIENCE LAB) (MS34 – FOOD SCIENCE LAB),,,,,
ROOM,,,,,
"MS33 AGEN 0232, SOIL 100 AGRI 361, AGEN 353",HORT 443,"AGRI 234, HORT 323",,HORT 111,AGRI 322
MS34,,,,,
"",RADIO,,,,,,,,,,,,,,,,,,,,
"",STATION,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,
"",SECONDARY (LAB1 - CHEMISTRY LAB),,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,
ROOM,ROOM,,,,,,,,,,,,,,,,,,,,
"",LAB1,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,
"",RESEARCH PARK,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,
"","RPLAB1.CHEM LAB, RPLAB2. ANIMAL SCIENCE, RPLAB3. PHYSICAL LAB, RPLAB4.BIOCHEM/BIOMED LAB, RPLAB5. BIOTECH LAB, RPLAB 6. MICROBIO",,,,,,,,,,,,,,,,,,,,
"","LAB, RPLAB7. ZOOLOGY LAB, RPLAB8. NURSING LAB",,,,,,,,,,,,,,,,,,,,
"",ROOM,,,,,,,,,,,,,,,,,,,,
"",RPLAB1,,,,,,,,,,,,,,,,,,,,
"",RPLAB2,,,,,,,ANSC 265,,,NSC 0268,,,NHE 0123,,,NHE 00123,,,,
"",RPLAB3,,,,,,,,,,,,,,,,,,,,
"",RPLAB4,,,,,,,,,,,,,,,,,,,,
"",RPLAB5,,,,,,,,,,,,,,,,,,,,
"",RPLAB6,,,,,,,,,,,,,,,,,,,,
"",RPLAB7,,,,,,,,,,,,,,,,,,,,
"",RPLAB8,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,
ROOM,ROOM
"",
"",
"",
"",
"",
"",
SATURDAY,,,,,,
ROOM,7.00 AM→9.00 AM,9.00 AM→11.00AM,11.00 AM→1.00 PM,1.00 PM→3.00 PM,3.00PM→5.00PM,5.00PM→7.00PM
SGT1,,,,,,
S104,,,,,,
S105,,,,,,
S203,,,,,,
S204,,,,,,
S207,,,,,,
LLB1,,,,,,
LLB2,,,,,,
LLB3,,BLAW 314,BLAW 314,,,
PAVH,,,,,,
